"Guid","AccountId","AssetProvidedById","AssetServicedById","ContactId","Description","InstallDate","IsCompetitorProduct","IsInternal","Name","Price","PurchaseDate","Quantity","SBQQ__AdditionalDiscountAmount__c","SBQQ__BillingFrequency__c","SBQQ__BillingType__c","SBQQ__Bundle__c","SBQQ__BundledQuantity__c","SBQQ__Bundled__c","SBQQ__ChargeType__c","SBQQ__CombineKey__c","SBQQ__ComponentDiscountedByPackage__c","SBQQ__DiscountScheduleType__c","SBQQ__Discount__c","SBQQ__DistributorDiscount__c","SBQQ__DynamicOptionId__c","SBQQ__FromServiceCloud__c","SBQQ__ListPrice__c","SBQQ__MarkupAmount__c","SBQQ__MarkupRate__c","SBQQ__Number__c","SBQQ__OptionDiscountAmount__c","SBQQ__OptionDiscount__c","SBQQ__OptionLevel__c","SBQQ__OptionType__c","SBQQ__OriginalUnitCost__c","SBQQ__PackageProductCode__c","SBQQ__PackageProductDescription__c","SBQQ__PartnerDiscount__c","SBQQ__PricingMethod__c","SBQQ__RegularPrice__c","SBQQ__RenewalUpliftRate__c","SBQQ__RequiredById__c","SBQQ__RootId__c","SBQQ__SegmentIndex__c","SBQQ__SegmentKey__c","SBQQ__SegmentLabel__c","SBQQ__SubscriptionEndDate__c","SBQQ__SubscriptionStartDate__c","SBQQ__UnitCost__c","SerialNumber","Status","UsageEndDate"
0eb81ff4-d962-46f7-bc23-eb1ec0108cb0,aedb4ad2-f9ea-4dad-9c28-d84d695468f5,"#N/A","#N/A",ca8f6487-0991-4f4d-9e88-ebb6d1de1335,"#N/A","#N/A",false,false,Test plan,"#N/A","#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5,"#N/A","#N/A"
3ddfec5f-8de0-45f6-9507-3cf1b3c75663,90c8dfac-b825-4078-8963-2d8e481b9a2c,"#N/A","#N/A",e56fd2e0-afa4-42e9-af17-8bf8ca1e58b0,"#N/A","#N/A",false,false,UI Asset,"#N/A","#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
44fe442c-e9ad-49a8-9611-5a08b413c8af,8c9af15c-254a-4168-abc0-ef7d0f46d2d8,"#N/A","#N/A",972ad2eb-1566-4f28-9719-c3e07b4edaac,"#N/A","#N/A",false,false,Reset Asset,"#N/A","#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
4e81fe13-1f62-492e-b57e-23fdf6edb468,31fcd1eb-7977-4cc1-9b31-5e75b26c00cc,"#N/A","#N/A",196a991c-6844-46e3-87fb-47f087457ee5,"#N/A","#N/A",false,false,Regression 2 Asset,"#N/A","#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
5a93c0c7-321d-4086-a6a0-0351435bc0f4,881108eb-3925-4761-9e0c-582e63befea8,"#N/A","#N/A",3a131f08-4cb8-47ae-99a0-e2263dda40d8,"#N/A","#N/A",false,false,Reset Asset,"#N/A","#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
60a89520-2bc1-4821-bd0f-19858f70ac2e,630faa66-2f3d-468c-ad06-85c2eb0f75f4,"#N/A","#N/A",78366cf0-698d-4669-b30f-0e1604212346,"#N/A","#N/A",false,false,Test plan,54545.0,"#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5,Purchased,"#N/A"
66dc0346-7d2d-4196-96b9-3361852019ea,1b12026f-4aa9-4880-a845-150dde4d7ca1,"#N/A","#N/A",6232b7c1-6a83-4254-ae25-93aababed5db,"#N/A","#N/A",false,false,UI Asset,"#N/A","#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
7cfa8b13-10a7-49a3-b0d4-2077abfbd148,28dcf2e5-6e67-44ec-8438-2449ebf695f2,"#N/A","#N/A",671ac388-84ca-4d46-a036-ab056a6a9e70,"#N/A","#N/A",false,false,Test plan,54545.0,"#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5,Purchased,"#N/A"
c8f57cae-7e8b-4c90-948b-e17751191b95,05b4576a-87cb-4c50-b5ca-7561c91943db,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,Test plan,"#N/A","#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5,"#N/A","#N/A"
d503d75d-6d63-4a3d-9cb7-e2702252e918,8cecae8c-54e4-4cd3-806d-38f554d8cb9e,"#N/A","#N/A",4a7573ef-d508-46a9-8890-0e93fd6ad896,"#N/A","#N/A",false,false,UI Asset,"#N/A","#N/A",1.0,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
